NGA,PolName,PolID,Start,End,World Region,Complexity,Dupl,Language,Genus,Family
Yemeni Coastal Plain,YeTahir,YeTahir,1454,1517,SouthwestAsia,Late,n,Persian,Iranian,Indo-European
Yemeni Coastal Plain,TrOttm3,TrOttm3,1538,1636,SouthwestAsia,Late,y,Turkish,Turkic,Altaic
Yemeni Coastal Plain,YeQasmi,YeQasmi,1637,1805,SouthwestAsia,Late,n,Arabic,Semitic,Afro-Asiatic
Yemeni Coastal Plain,YeOttoL,YeOttoL,1873,1919,SouthwestAsia,Late,n,Arabic,Semitic,Afro-Asiatic
Kachi Plain,PkAcerN,PkAcerN,-7500,-5501,SouthAsia,Early,n,PkAcerN,PkAcerN,PkAcerN
Kachi Plain,PkCeraN,PkCeraN,-5500,-4001,SouthAsia,Early,n,PkCeraN,PkCeraN,PkCeraN
Kachi Plain,PkChalc,PkChalc,-4000,-3201,SouthAsia,Early,n,PkChalc,PkChalc,PkChalc
Kachi Plain,PkPreUr,PkPreUr,-3200,-2501,SouthAsia,Early,n,PkPreUr,PkPreUr,PkPreUr
Kachi Plain,PkUrbn1,PkUrbn1,-2500,-2101,SouthAsia,Early,n,PkUrbn1,PkUrbn1,PkUrbn1
Kachi Plain,PkUrbn2,PkUrbn2,-2100,-1801,SouthAsia,Early,n,PkUrbn2,PkUrbn2,PkUrbn2
Kachi Plain,PkPostU,PkPostU,-1800,-1301,SouthAsia,Early,n,PkPostU,PkPostU,PkPostU
Kachi Plain,PkProto,PkProto,-1300,-551,SouthAsia,Early,n,PkProto,PkProto,PkProto
Kachi Plain,IrAchae,IrAchae,-550,-329,SouthAsia,Early,y,Old Persian,Iranian,Indo-European
Kachi Plain,InMaury,InMaury,-303,-194,SouthAsia,Early,n,Prakrit,Indic,Indo-European
Kachi Plain,PkIndGr,PkIndGr,-145,-96,SouthAsia,Early,n,Greek,Greek,Indo-European
Kachi Plain,IrPart1,IrPart1,-95,21,SouthAsia,Early,y,Greek,Greek,Indo-European
Kachi Plain,AfKushn,AfKushn,30,250,SouthAsia,Early,y,Greek,Greek,Indo-European
Kachi Plain,IrSasn1,IrSasn1,251,495,SouthAsia,Early,y,Pahlavi,Iranian,Indo-European
