"Latium","Paris Basin","Iceland","Upper Egypt","Niger Inland Delta","Ghanaian Coast","Crete","Galilee","Susiana","Konya Plain","Yemeni Coastal Plain","Kachi Plain","Deccan","Garo Hills","Cambodian Basin","Central Java","Kapuasi Basin","Middle Yellow River Valley","Kansai","Southern China Hills","Sogdiana","Orkhon Valley","Lena River Valley","Valley of Oaxaca","Cahokia","Finger Lakes","Cuzco","North Colombia","Lowland Andes","Big Island Hawaii","Chuuk Islands","Oro PNG"
5082.23585041783,5836.97102599947,7072.10485853061,3453.60586636122,7264.4129390714,7561.24617803127,4014.78086809815,3090.27569070224,1877.52167214745,3363.16839863302,2969.45489785783,0,1808.17894437909,2297.63295661189,4126.95153724894,6102.98580111811,5705.78415048506,4237.56847321052,6317.11485785601,3546.10008936836,1141.48907129031,3610.8490465864,5721.03362622424,14588.3316313179,12103.1132220127,11222.9801680658,15513.9030822555,13918.335560366,15317.9480497183,12847.9728750677,9025.39967621469,9573.72907585195
6743.14168112454,7584.0120381442,8877.36031693541,4692.13530762969,8450.76942001328,8436.72742231156,5556.21374680872,4579.24556904463,3431.39915212047,4983.53520079307,3572.63186452029,1808.17894437909,0,1826.24547816251,2940.12338919602,4475.77908738881,4249.53916042414,4170.87724578342,6240.57320010578,3126.71813200567,2855.32200390816,4283.17586453314,6685.05627957623,16336.8795728018,13847.2464924072,13016.7872895563,16640.7349908236,15634.8837095136,16876.380434007,13080.258498008,8186.72865486437,8319.23044277588
7202.14868679958,7783.02812858873,8487.67813768963,5748.10307437536,9561.96453602884,9815.83207326079,6256.37105386328,5368.03640594207,4160.01839752212,5570.73647741324,5039.23363864806,2297.63295661189,1826.24547816251,0,1933.48041179736,4198.20208324878,3611.06401358527,2347.023193661,4435.83654295507,1359.99402266781,2701.84541896015,2652.23102146608,5080.90316810379,15226.2305184825,12887.2361200032,12331.3183119967,17761.0180408963,15637.3732853903,17208.396830427,11268.1702357607,6759.1653002622,7292.59704643551
9129.30875323023,9711.40475813877,10258.3667516876,7498.92582442982,11318.0758962245,11376.2154100881,8138.20261304722,7215.37515736084,6003.15865090247,7469.47103034135,6510.69612314993,4126.95153724894,2940.12338919602,1933.48041179736,0,2380.2277756307,1691.05101994316,2522.1426919255,3998.6101104214,1571.23368146471,4635.31496726563,3758.47611043177,5909.82147287513,15941.2519606528,14046.6578517083,13775.2775738109,19575.9440819105,17311.2878686802,18834.2351346954,10549.5625030697,5255.88026328127,5470.15704887746
11179.6657399137,11911.3088616415,12635.6999271384,9126.8013491435,12721.0225979569,12351.814535799,10029.7513240377,9054.54491210982,7889.98613140508,9434.86910875361,7780.72542599223,6102.98580111811,4475.77908738881,4198.20208324878,2380.2277756307,0,891.222952860137,4641.06423967888,5376.18817699015,3900.97135284052,6837.73838610443,6071.46599246706,7995.98294408479,16862.0662228677,15938.6780571136,15978.1197190966,17722.6454368003,19403.1110058141,18596.7882685811,10650.3504798896,4839.35714621547,4165.48660955485
10769.1631337631,11393.9999223939,11899.5155806787,8939.26584435874,12682.6074218451,12502.1177375528,9710.40225975556,8757.39926320497,7557.72130687516,9068.94478278245,7740.37974245264,5705.78415048506,4249.53916042414,3611.06401358527,1691.05101994316,891.222952860137,0,3772.86115329642,4512.91794983462,3109.14408636361,6307.69912939588,5245.24012174533,7109.52984052988,16254.9505777432,15065.7533178775,15090.1696038382,18518.2005210485,18566.9881493005,18870.1185437529,10153.9055517464,4405.08939482723,4098.8125182812
8242.47682277968,8450.48041458991,8323.92793719457,7536.76054985181,11134.3446095839,11690.1467840878,7661.69532269396,6958.00878401411,5858.43084550451,6946.25056035149,7189.0929713317,4237.56847321052,4170.87724578342,2347.023193661,2522.1426919255,4641.06423967888,3772.86115329642,0,2115.82617204072,1136.25300354298,4032.52854582982,1606.93468457005,3401.18027362278,13482.621433725,11532.9296820543,11354.1005655035,17610.8016297586,14916.4068541752,16325.4739816966,8924.25455668847,5015.65269230033,6101.68769260657
9696.12959362629,9612.70813273058,8815.38683121918,9480.51768680683,12803.6749483538,13568.9402354185,9389.96506249118,8822.07732457576,7815.47387283912,8695.94993101524,9283.42023716729,6317.11485785601,6240.57320010578,4435.83654295507,3998.6101104214,5376.18817699015,4512.91794983462,2115.82617204072,0,3117.08676005356,5955.65229094742,3040.79762479115,3191.46334629447,12003.4396473092,10562.7606757486,10752.658564189,16337.7641846348,14055.2393147801,15051.4375176987,6839.72347989453,3477.22627637397,5023.15415213645
8123.39986137656,8527.72874670699,8794.31865402086,6983.10408910411,10746.2373153655,11107.2488097581,7334.81778042218,6516.43984788187,5338.02049958242,6625.13901619055,6385.93902367875,3546.10008936836,3126.71813200567,1359.99402266781,1571.23368146471,3900.97135284052,3109.14408636361,1136.25300354298,3117.08676005356,0,3654.47047722532,2188.34925201945,4392.75874911699,14576.8592312224,12510.4542235695,12204.069787085,18399.1080287877,15746.4474608431,17269.5701444899,9955.53069495486,5482.56343074482,6224.67116714303
4514.93526525063,5089.9027276603,6059.59735216474,3528.18966619345,7133.11828759129,7665.0693356952,3685.54387501319,2926.25561084022,1860.35451636184,2972.7513624005,3588.09280677514,1141.48907129031,2855.32200390816,2701.84541896015,4635.31496726563,6837.73838610443,6307.69912939588,4032.52854582982,5955.65229094742,3654.47047722532,0,2990.72199035414,4795.52885255503,13490.503344418,11000.0082621702,10167.6982949102,15073.8737865001,13090.0378211733,14594.2675682983,12075.0248130115,9030.96306307408,9876.41663816368
